CustomerID,ReturnDate,ReturnSales,OrderID
DDSOF91747,20150403,$310.68 ,020350GQZCED
DEANJ58544,20150709,$553.02 ,01175C4MPWU 
DEANS61380,20150321,"$2,160.00 ",022250CWJIH 
DEDOJ36741,20150306,$566.58 ,02185KVVDRN 
DEEBM26019,20150218,"$1,546.33 ",02135C5THXR 
DEENK34170,20150831,$462.71 ,05165H5TZCN 
DEERM32164,20160910,"$4,534.92 ",033150JHHKG 
DEFAR76730,20150214,$830.11 ,01045N4JINF 
DEFAR76730,20160330,"$1,766.78 ",01045N4JINF 
DEFAR76730,20160330,$265.15 ,01045N4JINF 
DEFEA22127,20150214,$932.80 ,02085K8SHJJ 
DEFED75244,20150601,$85.55 ,05255N3WNVJ 
DEFEG09452,20150701,"$2,010.74 ",04255N2OADC 
DEFEL39011,20150423,$0.00 ,04155I2LCZL 
DEFRJ27782,20160319,$863.34 ,11144G2UIMJ 
DEFRJ27782,20160319,$815.47 ,11144G2UIMG 
DEFRJ27782,20160319,$932.01 ,12274G2HAMF 
DELAH61254,20150616,$107.32 ,05095H2SDFO 
DELAJ50368,20150305,$926.47 ,03015G3YFCM 
DELAJ50368,20150305,$546.08 ,03015G3YFCMA
DELAJ752Z6,20160518,$1.07 ,01035N3JCZS 
DELAJ752Z6,20160509,"$1,174.86 ",01035N3JCZS 
DELAJ752Z6,20160719,$426.93 ,01035N3JCZS 
DELAJ752Z6,20160719,$107.00 ,01035N3JCZS 
DELAM29066,20150505,$114.17 ,04295J2PPLM 
DELAM87978,20150428,$12.20 ,04025L2HRCM 
DELAR17255,20150430,$92.42 ,04215G2MRZZ 
DELAR24173,20150504,"$1,309.68 ",04255E1OJEB 
DELAR67086,20150422,$140.83 ,04155E4LEGD 
DELAT26211,20160711,$646.92 ,04065K5IPYK 
DELAT88254,20150513,$325.88 ,05035I9QUFJ 
DELAT91380,20150427,$207.16 ,04175N5LRKY 
DELAY54862,20150220,$855.27 ,02135I7THFY 
DELCC97683,20150216,"$1,699.00 ",02085D1SFHJ 
DELCR44496,20160127,"$3,570.96 ",04035T2IABY 
DELCV98628,20150429,$919.02 ,04115E9KIHX 
DELEA51068,20150326,$135.91 ,03145W2BUQY 
DELED77071,20150421,"$1,365.76 ",04185K3MAPN 
DELRM85258,20150121,$281.34 ,01175H5MVZV 
DELRR87587,20150414,"$1,185.65 ",04015G2HOWQ 
DELRR87587,20150829,"$1,175.72 ",04015G2HOWQ 
DELRR87587,20150829,$196.11 ,04015G2HOWQ 
DELRV61085,20150417,$70.79 ,03105M2AUUW 
DELUE72944,20150511,$70.14 ,04295W2POTQ 
DELUH26418,20150409,$95.81 ,03155I6CLAM 
DELUJ32076,20150124,$250.41 ,12214H5FXGEA
DELUJ47263,20150225,$175.92 ,02185I1VCEH 
DELUM47938,20150601,$76.87 ,05205E3UYPV 
DELUM58517,20150328,"$1,763.36 ",12174E1EOEV 
DELUT39466,20150303,$371.00 ,0221509VWRB 
DELUT45170,20150320,$122.48 ,03145G4CCSG 
DELUT52486,20150226,$115.56 ,01315FVQGCO 
DELVA35052,20150225,$108.88 ,02165H4USTG 
