CustomerID,OrderID,Sales,TransactionDate
URBAS27060,11244W2XUWE ,$902.14 ,20150109
G999A39456,11244W2XVQU ,"$1,248.00 ",20150102
WILL25R   ,110840TSGDF ,$533.06 ,20150102
WILL25R   ,110840TSGKN ,"$2,306.25 ",20150102
WILL25R   ,110840TSGNJ ,$229.66 ,20150107
LOPEJ54049,110840TSIRS ,"$3,279.38 ",20150110
SMITJ12284,11084K9SKTN ,"$3,172.58 ",20150113
POWEB819Z1,110840TSJQY ,"$1,560.38 ",20150102
RODRM82401,110840TSOPJ ,$913.46 ,20150108
KRESH94079,01015M6ILTU ,$82.84 ,20150101
BATEJ30313,01015R2INTWA,$733.32 ,20150109
PENAM73116,01015R2INWB ,$353.68 ,20150105
ROBID80830,01015R2IOMJ ,"$1,207.44 ",20150110
RICHJ51952,01015R2IONY ,"$4,110.43 ",20150110
BENNL73286,01015R2IOOK ,"$3,778.87 ",20150109
PROKM98476,01015R2IOQG ,"$2,281.27 ",20150105
PROKM98476,01015R2IOQGA,$527.71 ,20150105
CORLR07918,01015R2IOZG ,"$4,724.95 ",20150102
BARNL16464,11114I9TIPG ,"$1,097.11 ",20150114
MEHRM94389,11114K9TPFP ,"$2,123.18 ",20150103
MEHRM94389,11114K9TPFPA,"$1,408.74 ",20150106
MEHRM94389,11114K9TPHX ,"$1,524.28 ",20150103
ROSEM29471,11114K9TRFN ,"$2,059.53 ",20150107
LOPEA74754,01025I8IXSM ,"$1,900.85 ",20150106
MARTM59934,01025I8IXVT ,"$1,065.89 ",20150106
MARIK74798,01025I8IXXJ ,$83.29 ,20150102
RAHMM74805,01025I8IXYZ ,$818.74 ,20150109
MARIK74798,01025I8IXZI ,$138.27 ,20150103
MATOL68890,01025I8IYBV ,"$1,086.57 ",20150107
TAVAJ74833,01025I8IYCC ,"$1,098.55 ",20150106
RAHMM74805,01025I8IYCT ,$443.12 ,20150109
GRALP69007,01025I8IYHE ,$369.09 ,20150105
ZALEC56916,01025I9IQFU ,$706.01 ,20150110
COPPJ47682,01025I9IQUB ,"$1,585.93 ",20150105
TOLSD73678,01025I9IQZX ,"$1,260.05 ",20150106
FUENL73789,01025I9IRWV ,$780.96 ,20150105
FORDA73818,01025I9IRYT ,"$1,151.37 ",20150105
RABAW73841,01025I9ISDV ,"$3,808.34 ",20150106
MASSJ73874,01025I9ISJY ,"$2,407.08 ",20150105
RYDEK79821,01025I9ISVX ,"$1,848.80 ",20150105
ROSSL73973,01025I9ITAY ,$809.15 ,20150108
MORAR78391,01025I9ITBV ,"$3,328.22 ",20150105
MORAR78391,01025I9ITBVA,$704.97 ,20150107
PORCS64292,01025I9ITCC ,$391.05 ,20150105
HEMBS74012,01025I9ITGX ,"$1,292.58 ",20150105
CAULJ58784,01025I9ITKA ,"$2,172.45 ",20150108
ALVAL74164,01025I9IUJY ,"$2,415.98 ",20150103
MELLD60815,01025I9IVRC ,$586.52 ,20150102
NEWHG58323,01025I9IWLJ ,$868.95 ,20150109
METZR74528,01025I9IWOL ,$972.14 ,20150108
PARHE36787,01025I9IXTB ,"$1,702.15 ",20150103
SILVD74912,01025I9IYKL ,$646.26 ,20150106
BERGS91209,01025JVIQXY ,$337.05 ,20150102
LEOGM54136,01025JVIQYJ ,$337.05 ,20150102
MOHAM30839,01025JVIRFH ,$262.15 ,20150102
WHITW73730,01025JVIRNC ,$972.63 ,20150108
SCAMC51535,01025JVIRVY ,$251.45 ,20150105
MISTP73807,01025JVIRXO ,$432.15 ,20150107
DUCLR74056,01025JVITMW ,$321.00 ,20150102
PRUEJ69879,01025JVITQL ,$461.17 ,20150102
HULLC23845,01025JVIUBJ ,$80.25 ,20150105
RUSSA38992,01025JVIURA ,$203.30 ,20150102
GROTJ46805,01025JVIVAL ,$410.88 ,20150107
GONZM26236,01025K5IPZP ,$755.89 ,20150106
MCEND26102,01025K5IQZE ,"$3,015.31 ",20150106
BLAKA80402,01025K5ITEF ,"$1,980.61 ",20150106
VALEF74009,01025K5ITGF ,"$5,200.15 ",20150107
SMITB74057,01025K5ITQE ,$841.21 ,20150103
GISTW74083,01025K5ITSY ,$862.87 ,20150103
HARVA74292,01025K5IVDL ,$927.61 ,20150106
JONEV57517,01025K5IVNX ,"$1,344.55 ",20150109
ONWUC74340,01025K5IVSF ,$528.44 ,20150110
ONWUC74340,01025K5IVSL ,$808.92 ,20150110
VINCN74389,01025K5IVTL ,"$3,903.93 ",20150106
PHILD69138,01025K5IWJD ,$170.64 ,20150106
HENZS10107,01025K5IWKA ,$744.07 ,20150103
MILEF74564,01025K5IWSM ,"$5,487.37 ",20150107
MCKIV58566,01025K5IXEU ,$924.48 ,20150102
LIEBM74656,01025K5IXFG ,$150.12 ,20150108
CHANL74713,01025K5IXMB ,"$1,024.39 ",20150106
BERGN74729,01025K5IXOI ,$884.47 ,20150109
SANCI60367,01025K5IXQX ,"$1,655.59 ",20150107
GONZF89146,01025K5IYHK ,"$1,138.27 ",20150106
PERVR39755,01025K5IYJP ,"$3,089.77 ",20150106
DAVIR37090,11284E6YUUY ,$865.58 ,20150110
DAVIR37090,11284E6YUUYA,$517.88 ,20150110
DAVIR37090,11284E6YUYE ,"$2,096.13 ",20150110
DAVIR37090,11284E6YVAA ,$128.29 ,20150104
HAGES10686,11284E6YWHD ,"$2,534.78 ",20150115
LUNAS35897,11284G3YPFP ,"$5,977.18 ",20150102
SMITA35328,11284D2YLTI ,"$2,500.00 ",20150111
SMITA35328,11284D2YLUG ,$638.00 ,20150111
KRAMS89090,11284E2YSJRA,$480.43 ,20150103
MENAC38111,11284E5YZQR ,"$2,391.40 ",20150113
RESTS34929,11284E6YKFT ,"$2,944.68 ",20150106
ADDAL84671,11284G2YKAS ,"$3,200.00 ",20150102
BESTB71294,01035R2JHDH ,"$1,477.39 ",20150107
DAMIB75032,01035SVIZBR ,"$1,425.49 ",20150105
ROSSA75077,01035SVIZJB ,$694.53 ,20150109
PAWEC72252,01035SVIZLW ,"$2,926.48 ",20150103
OSSEB90196,01035SVJARW ,$855.36 ,20150103
UKRAW89208,01035SVJCCM ,"$1,639.39 ",20150109
BAILC87036,01035SVJCNR ,$37.04 ,20150103
REALM57455,01035SVJCSC ,$233.27 ,20150103
NIELD75692,01035SVJCTZ ,"$1,228.98 ",20150107
NIELD75692,01035SVJCTZA,$168.43 ,20150103
BATCJ37695,01035SVJDAM ,"$1,466.91 ",20150107
BATCJ37695,01035SVJDAMA,$153.07 ,20150107
HUBBA37343,01035SVJDEI ,$821.83 ,20150106
LAPPD29255,01035SVJDEM ,$125.23 ,20150110
CONOJ75834,01035SVJDIA ,"$1,780.92 ",20150110
CONOJ75834,01035SVJDIAA,$281.83 ,20150110
NORTC10215,01035SVJDQV ,$257.04 ,20150103
DIFRA57C  ,01035SVJDXL ,$64.75 ,20150103
CARRG76023,01035SVJEGI ,$891.00 ,20150105
GINNR94026,01035SVJFEO ,$300.24 ,20150103
DUCLM76221,01035SVJFGY ,$301.64 ,20150105
BARBR76300,01035SVJFRO ,$818.59 ,20150103
WARRB76457,01035SVJGNG ,$745.20 ,20150104
GIBBV90837,01035SVJGWX ,$806.71 ,20150108
CAMPT80301,010350CIZNB ,$576.68 ,20150109
GULLJ28782,010350CIZNU ,"$2,053.28 ",20150107
SERBV11598,010350CIZOE ,$753.23 ,20150106
CAMPT80301,010350CIZPT ,$219.24 ,20150109
JOHNS81674,010350CIZSM ,$298.53 ,20150106
AUSTF15235,010350CIZUF ,$513.59 ,20150109
AUSTF15235,010350CIZUP ,$193.62 ,20150103
KATUM14260,11094C4SUPV ,"$5,433.37 ",20150102
KATUM14260,11094C4SUPVA,$796.51 ,20150110
ESCHL41971,0101507INCM ,"$2,877.39 ",20150107
SMITP76230,0101507INNE ,"$3,838.27 ",20150106
ROBIS34241,010150LIOFP ,"$2,541.06 ",20150103
GUNNL72721,0101503IMFC ,$137.16 ,20150113
LEMOP16650,0101503IMNX ,$21.87 ,20150101
LEMOP16650,0101503IMOD ,"$2,177.28 ",20150105
BAILD72807,0101503IMPM ,"$4,080.13 ",20150106
BIPPR72818,0101503IMPY ,"$1,462.32 ",20150108
FIELR72843,0101503IMSP ,$74.02 ,20150105
CHANR72871,0101503IMXH ,"$4,923.67 ",20150103
SCOTV72879,0101503IMYF ,$541.08 ,20150102
MADDM24870,0101503INBY ,"$1,433.11 ",20150110
VALLD72922,0101503INEJ ,"$1,089.66 ",20150106
COATC72987,0101503INIX ,"$1,403.89 ",20150110
HYATJ72995,0101503INLO ,"$2,158.92 ",20150107
ILACM21846,0101503INOV ,"$3,460.32 ",20150105
MUJIM28932,0101503INQM ,"$6,366.22 ",20150110
SEELE37054,0101503INTR ,$292.21 ,20150110
NINEA145Z8,0101503INXQ ,$663.12 ,20150107
MACDK73226,0101503IOJV ,$575.59 ,20150105
AZZOG57541,0101503IOXJ ,"$2,720.52 ",20150105
CIECM72424,0101507IKVH ,"$5,031.81 ",20150113
JONEE72475,0101507ILBW ,"$7,599.00 ",20150113
JONEE72475,0101507ILBWA,$60.15 ,20150113
CYR9A96107,0101507ILDT ,$200.10 ,20150106
BUTTG72497,0101507ILFR ,"$3,358.15 ",20150107
BUTTG72497,0101507ILFRB,$205.54 ,20150112
HERTK76164,0101507ILUQ ,"$3,209.21 ",20150106
PRIMJ72826,0101507IMVC ,"$3,071.92 ",20150103
PRIMJ72826,0101507IMVE ,"$1,120.07 ",20150103
MYERC30967,0101507IMXQ ,$216.41 ,20150101
MILLS95422,01015K9IKIX ,$916.85 ,20150103
MILLS95422,01015K9IKJM ,$410.22 ,20150106
DERSC66782,01015K9IKVJ ,"$1,646.13 ",20150106
DELPM13150,01015K9IKWV ,$84.75 ,20150101
MACKA87096,01015K9ILFA ,$825.69 ,20150106
MARTE89584,01015K9ILHB ,"$19,024.51 ",20150103
RAE9K42903,01015K9ILHF ,$905.24 ,20150107
MULPK68037,01015K9ILYO ,$998.26 ,20150108
MULPK68037,01015K9ILYOA,"$1,046.48 ",20150105
LESLC72669,01015K9IMBL ,"$1,515.75 ",20150105
LESLC72669,01015K9IMDI ,$47.70 ,20150101
REICL72742,01015K9IMIN ,"$1,778.68 ",20150110
PARKK72743,01015K9IMIT ,"$2,814.25 ",20150106
KATHI72755,01015K9IMMU ,"$5,606.29 ",20150106
BANKB72785,01015K9IMPF ,"$3,396.19 ",20150107
SCHEL72829,01015K9IMSC ,$629.64 ,20150101
CHAUK72831,01015K9IMSD ,"$2,722.45 ",20150106
WEISB72832,01015K9IMTT ,"$2,897.99 ",20150107
BANKP44777,01015K9IMUC ,"$1,054.65 ",20150105
BACAS72882,01015K9IMYZ ,$19.08 ,20150101
CLEAM50435,01015K9INFF ,$396.39 ,20150107
FEELR60111,01015K9INOY ,"$1,171.30 ",20150105
GORMS43615,01015K9INSM ,"$2,203.39 ",20150105
WISSB73154,01015K9IOAV ,$919.55 ,20150109
BEGUT73194,01015K9IOGF ,"$2,346.31 ",20150105
YISUC35374,01015K9IOPD ,$189.74 ,20150101
FOXJE73352,01015K9IOWB ,$583.00 ,20150101
MEYEA73387,01015K9IPAD ,"$1,376.89 ",20150102
BURKK756Z1,01015K9IPGE ,"$2,190.97 ",20150110
RUFOD72881,01015L2IMYH ,"$1,648.19 ",20150110
YOCOD72868,01015L2IMZG ,"$2,798.35 ",20150103
CLINC74995,01015L2INAW ,"$1,446.90 ",20150103
RUSEJ72888,01015L2INGF ,"$2,357.39 ",20150103
DALAS73003,01015L2INNT ,"$5,241.70 ",20150107
STOLS73086,01015L2INUR ,"$2,604.37 ",20150109
SCHIM12266,01015L2IORG ,"$1,187.15 ",20150109
CIRIG64323,01015L2IOSD ,"$1,234.90 ",20150105
VANJD96126,01015L2IOUQ ,$644.48 ,20150106
IKELA67613,01015L2IOYE ,$890.76 ,20150110
FRENE73405,01015L2IPBH ,$104.94 ,20150101
FRENE73405,01015L2IPCM ,"$3,216.04 ",20150106
DEBOJ54230,01015L2IPFN ,$248.04 ,20150102
DIPIC50284,11284P1YRGL ,$264.95 ,20150114
SERGD36605,11284P1YSPVA,"$1,047.28 ",20150103
HANCC38431,01035MVJBVN ,$212.65 ,20150103
IVEYD66309,01035MVJCFV ,"$1,018.83 ",20150107
IVEYD66309,01035MVJCGO ,$415.83 ,20150107
LAMOB75411,01035M4JBFEA,$837.83 ,20150110
AHERT96698,01035M4JCJZ ,$73.63 ,20150103
GAGNR75372,01035M4JCQI ,"$5,200.00 ",20150110
HUNTE75700,01035M4JCQL ,$923.31 ,20150110
VANAD75701,01035M4JCSF ,"$2,701.54 ",20150106
CABRP92290,01035M4JCUW ,$891.44 ,20150107
MILLA55584,01035M4JDFB ,"$1,600.82 ",20150110
BAPTM75838,01035M4JDJA ,$737.32 ,20150110
MCGOT75889,01035M4JDNZ ,$248.57 ,20150103
SMITA75902,01035M4JDQO ,$900.95 ,20150108
PIMEM75968,01035M4JDYQ ,"$1,466.25 ",20150106
FRAZR72649,01035M4JEDO ,"$4,172.38 ",20150106
MELLM76015,01035M4JEEQ ,$540.81 ,20150108
MARCL76019,01035M4JEHH ,"$1,427.33 ",20150110
ROSEW91604,01035M4JEND ,$488.70 ,20150107
PINEF53526,01035M4JEQP ,$620.07 ,20150110
COSTG19521,01035M4JESY ,$530.19 ,20150107
MANNS76127,01035M4JEUB ,$818.07 ,20150106
MANNS76127,01035M4JEUM ,$557.76 ,20150106
BARRS26153,01035M4JEYF ,$820.64 ,20150105
CHAPJ72097,01035M4JFJT ,$144.78 ,20150107
MARKD40134,11294E8ZKJS ,"$1,142.10 ",20150109
COLLS29208,01035KVJFIA ,$636.00 ,20150106
RAUMJ32871,01035KVJFJS ,$528.94 ,20150107
RAUMJ32871,01035KVJFJSA,$210.94 ,20150107
COLLS29208,01035KVJFLJ ,$793.94 ,20150106
ZEUND32128,01035KVJFML ,"$1,904.82 ",20150106
ZEUND32128,01035KVJFNO ,$922.15 ,20150106
WYDEC53039,01035KVJFNQ ,"$1,711.90 ",20150107
BROWS65068,01035KVJFYA ,$882.98 ,20150107
HOLMJ76400,01035KVJGGE ,$685.82 ,20150107
CUSAD76408,01035KVJGGI ,$496.08 ,20150104
CUSAD76408,01035KVJGGZ ,$535.30 ,20150104
MARVV20095,01035KVJGIU ,$318.00 ,20150103
OSBOD48886,01035KVJGRW ,"$1,000.64 ",20150108
NICHK13388,01035KVJGSX ,$455.80 ,20150103
CHACA76610,01035KVJHEX ,$695.50 ,20150115
CHACA76610,01035KVJHFS ,$684.80 ,20150115
CHACA76610,01035KVJHFT ,$115.54 ,20150103
JOHNB58673,01035KVJHHW ,$498.20 ,20150103
FALCM63217,01035K4IYYD ,$319.59 ,20150107
CORRE74901,01035K4IYZF ,$74.15 ,20150107
KACHA114Z9,01035K4IZRZ ,$508.80 ,20150103
SIMMK59447,01035K4IZXJ ,$442.10 ,20150106
BRESM93501,01035K4IZYF ,$397.50 ,20150103
STRIG75241,01035K4JAHL ,"$3,487.35 ",20150109
SAGID75275,01035K4JAMF ,"$1,614.38 ",20150108
CHUDM75185,010350CIZZU ,"$2,995.95 ",20150107
PARKE75289,010350CJAOX ,$705.08 ,20150110
ANDEG75309,010350CJASH ,$721.13 ,20150106
TREM91R   ,010350CJASO ,"$1,079.63 ",20150110
MEYE18S   ,010350CJBJD ,$796.03 ,20150106
PRONB75455,010350CJBQF ,"$2,267.28 ",20150105
FARGS88802,010350CJBXG ,"$2,238.39 ",20150106
MACHL75560,010350CJBZK ,"$1,445.79 ",20150107
