CustomerID,TransactionDate,StoreID,Sales
VOORH80824,20151124,F3  ,$159.43 
WARDD81392,20151127,F3  ,$416.23 
VELEL579Z6,20151127,F4  ,"$1,068.93 "
VERDJ43104,20151127,F4  ,$552.12 
VERDJ43104,20151125,F4  ,$962.95 
WOODJ80682,20151125,G1  ,"$1,381.51 "
WATKS81001,20151127,G2  ,"$2,277.99 "
WILLM80970,20151125,P1  ,$736.59 
WERNC72885,20151127,P1  ,"$1,742.64 "
WALSP81535,20151127,P1  ,$526.29 
ZHENJ81565,20151124,P1  ,$158.95 
ZINSG73627,20151127,W2  ,$209.35 
WONGL40731,20151128,W2  ,$126.90 
WADEB16784,20151125,W2  ,$639.27 
WILLO74025,20151128,W2  ,$671.96 
WHORV80676,20151124,2,"$1,728.00 "
WOODM59170,20151127,2,$760.27 
VOSSJ34093,20151125,3,$291.55 
WADYM80790,20151127,3,"$6,863.40 "
WORRK41704,20151008,N2  ,$841.39 
WEISK20388,20151015,N3  ,"$2,761.19 "
WRIGK11125,20151021,E6  ,$69.55 
VEPRE36559,20151013,E6  ,$470.69 
WENGN76094,20151022,E6  ,"$1,134.20 "
XOCHI62265,20151016,E6  ,"$1,141.69 "
XOCHI62265,20151016,E6  ,"$1,269.02 "
WHITJ50852,20151013,E7  ,"$1,797.55 "
VALEC56495,20151013,E7  ,$374.45 
WIENE22952,20151010,H2  ,$708.04 
WEEHW23802,20151013,H3  ,"$3,210.72 "
WILLJ23497,20151012,I1  ,$692.97 
WENRE36567,20151016,K3  ,$422.41 
ZAFFV89726,20151009,E8  ,$147.66 
WALSJ90052,20151013,E9  ,$37.22 
VASQZ83736,20151009,G5  ,$107.79 
VROUJ23287,20151014,G5  ,$341.87 
WILSY22498,20151014,G5  ,"$2,525.85 "
WILSY22498,20151021,G5  ,$673.99 
VANBS55505,20151017,G5  ,$352.76 
WASZH89181,20151020,C3  ,$608.84 
WERTA43056,20150516,RV  ,$70.20 
VANDM43607,20150516,RV  ,$323.95 
VERMG24011,20151024,N5  ,$222.16 
WOODJ40357,20150808,N5  ,$944.77 
VINHB95499,20151020,C3  ,$440.24 
WARNA95042,20150519,P6  ,"$1,059.89 "
WISOJ23734,20151016,L2  ,"$3,994.08 "
WRIGC23476,20151015,P4  ,"$1,068.88 "
WISCA23773,20151022,P5  ,"$5,731.37 "
WLADJ23089,20151017,P6  ,"$7,391.27 "
WLADJ23089,20151009,P6  ,$180.20 
ZAHRB23732,20151113,R4  ,"$6,307.07 "
ZAHRB23732,20151117,R4  ,"$3,096.32 "
ZAHRB23732,20151201,R4  ,"$2,559.49 "
WANKA23755,20151012,2,"$1,835.95 "
WANKA23755,20151013,2,$270.00 
WIKEW44138,20151014,9,$171.72 
WILCR23592,20151009,9,$70.43 
VIP0000001,20150519,A1  ,$0.00 
WILL25R   ,20150102,0T  ,$533.06 
WILL25R   ,20150102,0T  ,"$2,306.25 "
WILL25R   ,20150204,0T  ,$419.82 
WILL25R   ,20150107,0T  ,$229.66 
WEEKA19076,20150216,I7  ,$958.10 
WEEKA19076,20150210,I7  ,$163.31 
WAITT18083,20150212,I7  ,"$1,720.17 "
YANGK39253,20150212,I7  ,"$1,393.55 "
VILLP65414,20150225,I7  ,"$1,602.59 "
ZALEC56529,20150209,I8  ,$153.51 
